店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
寿司食べ放題 築地玉寿司 銀座コア店,050-5484-9871,,東京都,中央区銀座,5-8-20,銀座コアB2F,http://www.tamasushi.co.jp/,FALSE
板前寿司 銀座ウォータータワー店,050-5488-3283,,東京都,中央区銀座,8-6-21,ウォータータワー1F,,
板前寿司 銀座コリドー店,050-5485-0547,,東京都,中央区銀座,8-2-13,Jビル1F,http://www.itamae.co.jp/,FALSE
築地寿司岩 総本店,050-5486-6504,,東京都,中央区築地,2-15-12,,https://www.sushiiwa.co.jp/,TRUE
築地玉寿司 築地本店,050-5485-5357,,東京都,中央区築地,1-9-4,,http://www.tamasushi.co.jp/,FALSE
築地玉寿司 晴海通り店,050-5485-2459,,東京都,中央区築地,2-15-19,ミレニアム築地1～2F･B1,http://www.tamasushi.co.jp/,FALSE
寿司幸別館 IKKYU,050-5487-6732,,東京都,中央区銀座,6-8-7,交詢ビルディング4F,,
わらやき屋 銀座,050-5484-4720,mailto:warayakiya-ginza@diamond-dining.com,東京都,中央区銀座,6-5-15,銀座能楽堂ビル6F,https://www.dd-holdings.jp/shops/warayakiya/ginza,TRUE
くいもの屋わん 新橋店,050-5484-4644,,東京都,港区新橋,2-19-10,新橋マリンビル10F,http://www.oizumifoods.co.jp/,FALSE
あなご屋 銀座ひらい,050-5487-2283,,東京都,中央区銀座,5-9-5,長屋104,https://www.facebook.com/HiraiGinza,TRUE
みやざき黒木屋 銀座一丁目店,050-5485-0605,,東京都,中央区銀座,1-8-8,三神株式会社・ALビル1F,http://kidshd.co.jp/,FALSE
高級寿司食べ放題 雛鮨 西銀座,050-5489-0476,,東京都,中央区銀座,4-1,西銀座デパート2F,,
「夢屋銀兵衛 虎夢」,050-5484-4640,,東京都,中央区銀座,7-7-7,GINZA 777 ADC bld5F,http://www.yumeyaginbei.com/,FALSE
銀座 鮨 み富,050-5487-8968,,東京都,中央区銀座,5-10-11,川島ビル2F,,
銀座 聖起,050-5487-8526,,東京都,中央区銀座,4-12-1,GINZA12ビル2F,,
くわ野,050-5487-3114,,東京都,中央区銀座,8-7-6,平つかビル3F,,
銀座 聖起,050-5487-8526,,東京都,中央区銀座,4-12-1,GINZA12ビル2F,,
はっこく,050-5487-2241,,東京都,中央区銀座,6-7-6,ラペビル3F,,
銀座 鮨 ふくじゅ,050-5487-6574,,東京都,中央区銀座,5-8-17,銀座プラザ58 8F,,
からく,03-3571-2544,,東京都,中央区銀座,5-6-16,西五番館ビルB1,http://www.ginza-karaku.com/,FALSE
銀座 鮨 ふくじゅ,050-5487-6574,,東京都,中央区銀座,5-8-17,銀座プラザ58 8F,,
築地きたろう,050-5484-3539,,東京都,中央区築地,1-13-1,ADK松竹スクエア1F,http://www.tamasushi.co.jp/,FALSE
築地きたろう,050-5484-3539,,東京都,中央区築地,1-13-1,ADK松竹スクエア1F,http://www.tamasushi.co.jp/,FALSE
築地魚河岸 まぐろ一代日比谷店,050-5494-1463,,東京都,千代田区有楽町,2-1-13,,,
鮨酒井,050-5488-0548,,東京都,中央区銀座,7-3-8,銀座7thプレイス9F,,
銀座 寿司幸本店,050-5487-6726,,東京都,中央区銀座,6-3-8,,,
築地青空三代目 銀座三越店,050-5484-6583,,東京都,中央区銀座,4-6-16,銀座三越 新館 11F,,
銀座 寿司幸本店,050-5487-6726,,東京都,中央区銀座,6-3-8,,,
東銀座 江戸銀,050-5486-2861,,東京都,中央区銀座,3-14-7,,,
鮨処 銀座 福助 本店,050-5487-0715,,東京都,中央区銀座,2-6-5,銀座トレシャス10F,https://www.fukusuke.co.jp/,TRUE
いちき,050-5494-5508,,東京都,中央区銀座,5-4-15,西五ビル4F,,
ぎんざ 寿し幸,050-5488-4394,,東京都,中央区銀座,7-7-14,,,
銀座 すし嘉,050-5487-0847,,東京都,中央区銀座,6-8-19,VORT銀座miyuki st.5F,,
すしざんまい 本陣,050-5486-5412,,東京都,中央区築地,4-4-3,,http://www.kiyomura.co.jp/,FALSE
鮨 銀座 おのでら 総本店,050-5493-6629,,東京都,中央区銀座,5-14-14,サンリット銀座ビル3 B1・2F,,
鮨 やまけん,050-5487-8505,,東京都,中央区銀座,5-13-19,9F,,
銀座 いわ,050-5488-6277,,東京都,中央区銀座,8-4-4,三浦ビル,,
銀座 鮨 かねさか 本店,050-5487-2396,,東京都,中央区銀座,8-10-3,三鈴ビルB1,http://www.sushi-kanesaka.com/,FALSE
銀座鮨 昇,03-6278-8102,,東京都,中央区銀座,7-12-4,友野本社ビルB1,,
すし八左ェ門,050-5487-3216,,東京都,中央区銀座,7-4-5,7F,,
写楽 銀座第一店,050-5494-3257,,東京都,中央区銀座,6-3-11,西銀座ビルB1,,
青木 銀座本店,03-3289-1044,,東京都,中央区銀座,6-7-4,銀座タカハシビル2F,http://www.sushiaoki.jp/,FALSE
青空（はるたか）,050-5486-9488,,東京都,中央区銀座,8-3-1,銀座時傳6F,,
青木 銀座本店,03-3289-1044,,東京都,中央区銀座,6-7-4,銀座タカハシビル2F,http://www.sushiaoki.jp/,FALSE
銀座 すし嘉,050-5487-0847,,東京都,中央区銀座,6-8-19,VORT銀座miyuki st.5F,,
鮨 よしたけ,050-5493-0636,,東京都,中央区銀座,7-8-13,Brown Place9F,http://sushi-yoshitake.com/,FALSE
日本料理 銀座 一,050-5494-5459,,東京都,中央区銀座,6-2-1,DAIWA銀座ビルB2,,
銀座いわ はなれ,050-5484-0349,,東京都,中央区銀座,7-5-16,秀芳ビル3F,,
銀座いわ はなれ,050-5484-0349,,東京都,中央区銀座,7-5-16,秀芳ビル3F,,
すしざんまい 奥の院,050-5486-5413,,東京都,中央区築地,4-5-12,,http://www.kiyomura.co.jp/,FALSE
